valueFile,valueLine,sourceFile,sourceLine
DeepSpread.ts,21,DeepSpread.ts,21
DeepSpread.ts,22,DeepSpread.ts,22
DeepSpread.ts,23,DeepSpread.ts,22
DeepSpread.ts,23,DeepSpread.ts,23
DeepSpread.ts,24,DeepSpread.ts,22
DeepSpread.ts,24,DeepSpread.ts,23
DeepSpread.ts,24,DeepSpread.ts,24
DeepSpread.ts,25,DeepSpread.ts,22
DeepSpread.ts,25,DeepSpread.ts,23
DeepSpread.ts,25,DeepSpread.ts,24
DeepSpread.ts,25,DeepSpread.ts,25
DeepSpread.ts,27,DeepSpread.ts,22
DeepSpread.ts,27,DeepSpread.ts,23
DeepSpread.ts,27,DeepSpread.ts,24
DeepSpread.ts,27,DeepSpread.ts,25
